Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
93,Entry long,2026-01-22 09:55,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.138184|rs_vs_spy=0.565086|gap_atr=0.300123|ext_atr=0.078176|risk_atr=0.128176,249.86,78,19489.08,-53.82,-0.28,0,34.32,0.18,-53.82,-0.28,-1716.55,-6.87,11
94,Exit long,2026-01-22 14:35,sl1|exit_reason=stop|mfe_r=0.142959,250.04,64,16054.4,-51.84,-0.32,0,5.76,0.04,-51.84,-0.32,-1768.39,-7.07,5
94,Entry long,2026-01-22 14:10,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.812317|rs_vs_spy=0.555118|gap_atr=0.300123|ext_atr=0.216044|risk_atr=0.153954,250.85,64,16054.4,-51.84,-0.32,0,5.76,0.04,-51.84,-0.32,-1768.39,-7.07,5
95,Exit short,2026-01-23 09:50,sl1|exit_reason=stop|mfe_r=0,245.62,56,13702.64,-52.08,-0.38,0,0,0.00,-52.08,-0.38,-1820.47,-7.28,1
95,Entry short,2026-01-23 09:45,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.263897|rs_vs_spy=-0.956699|gap_atr=-0.199785|ext_atr=0.194767|risk_atr=0.181141,244.69,56,13702.64,-52.08,-0.38,0,0,0.00,-52.08,-0.38,-1820.47,-7.28,1
96,Exit long,2026-01-26 10:10,sl1|exit_reason=trail|mfe_r=1.530287,253.1,50,12631,24,0.19,0,74.5,0.59,-33.5,-0.27,-1796.47,-7.19,7
96,Entry long,2026-01-26 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.195825|rs_vs_spy=0.294096|gap_atr=0.70849|ext_atr=0.267531|risk_atr=0.201966,252.62,50,12631,24,0.19,0,74.5,0.59,-33.5,-0.27,-1796.47,-7.19,7
97,Exit long,2026-01-26 15:50,sl1|exit_reason=stop|mfe_r=0.581276,254.82,46,11773.7,-51.98,-0.44,0,28.06,0.24,-51.98,-0.44,-1848.45,-7.39,17
97,Entry long,2026-01-26 14:25,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.165409|rs_vs_spy=1.311545|gap_atr=0.70849|ext_atr=0.401446|risk_atr=0.222573,255.95,46,11773.7,-51.98,-0.44,0,28.06,0.24,-51.98,-0.44,-1848.45,-7.39,17
98,Exit long,2026-01-27 09:55,sl1|exit_reason=trail|mfe_r=1.992735,261.29,240,62620.8,88.8,0.14,0,247.2,0.39,-69.6,-0.11,-1759.65,-7.04,2
98,Entry long,2026-01-27 09:45,sl1|setup=orb_break|side=long|grade=A|size=full|score=5|window=open|tier=neutral|rvol=2.148187|rs_vs_spy=0.639838|gap_atr=0.732906|ext_atr=0.13259|risk_atr=0.081188,260.92,240,62620.8,88.8,0.14,0,247.2,0.39,-69.6,-0.11,-1759.65,-7.04,2
99,Exit long,2026-01-27 11:20,sl1|exit_reason=be|mfe_r=1.040338,260.77,85,22168.85,-3.4,-0.02,0,50.15,0.23,-4.25,-0.02,-1763.05,-7.05,4
99,Entry long,2026-01-27 11:00,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=1.599073|rs_vs_spy=0.36546|gap_atr=0.732906|ext_atr=0.064292|risk_atr=0.114292,260.81,85,22168.85,-3.4,-0.02,0,50.15,0.23,-4.25,-0.02,-1763.05,-7.05,4
100,Exit short,2026-01-28 14:45,sl1|exit_reason=be|mfe_r=1.129828,256.17,34,8708.42,-1.36,-0.02,0,55.08,0.63,-36.38,-0.42,-1764.41,-7.06,62
100,Entry short,2026-01-28 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.65164|rs_vs_spy=-0.53332|gap_atr=-0.150068|ext_atr=0.204856|risk_atr=0.277492,256.13,34,8708.42,-1.36,-0.02,0,55.08,0.63,-36.38,-0.42,-1764.41,-7.06,62
101,Exit short,2026-01-29 09:50,sl1|exit_reason=be|mfe_r=0.78859,256.86,53,13611.46,-2.12,-0.02,0,38.16,0.28,-27.03,-0.20,-1766.53,-7.07,3
101,Entry short,2026-01-29 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.703199|rs_vs_spy=-0.30789|gap_atr=0.306714|ext_atr=0.200113|risk_atr=0.181587,256.82,53,13611.46,-2.12,-0.02,0,38.16,0.28,-27.03,-0.20,-1766.53,-7.07,3
102,Exit short,2026-01-30 09:45,sl1|exit_reason=be|mfe_r=0.80657,254.18,92,23329.36,-55.2,-0.24,0,78.2,0.34,-61.64,-0.26,-1821.73,-7.29,1
102,Entry short,2026-01-30 09:40,sl1|setup=pdl_break|side=short|grade=A|size=full|score=5|window=open|tier=neutral|rvol=2.165099|rs_vs_spy=-0.728908|gap_atr=-0.552888|ext_atr=0.151775|risk_atr=0.20852,253.58,92,23329.36,-55.2,-0.24,0,78.2,0.34,-61.64,-0.26,-1821.73,-7.29,1
103,Exit short,2026-01-30 10:35,sl1|exit_reason=stop|mfe_r=0.284636,255.44,37,9400.22,-51.06,-0.54,0,13.32,0.14,-51.06,-0.54,-1872.79,-7.49,2
103,Entry short,2026-01-30 10:25,sl1|setup=vwap_loss|side=short|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=2.24697|rs_vs_spy=-0.35865|gap_atr=-0.552888|ext_atr=0.208086|risk_atr=0.258086,254.06,37,9400.22,-51.06,-0.54,0,13.32,0.14,-51.06,-0.54,-1872.79,-7.49,2
104,Exit long,2026-01-30 15:50,sl1|exit_reason=trail|mfe_r=1.63044,260.23,60,15553.8,60,0.39,0,160.2,1.03,-10.8,-0.07,-1812.79,-7.25,7
104,Entry long,2026-01-30 15:15,sl1|setup=hod_break|side=long|grade=A|size=full|score=4|window=power|tier=neutral|rvol=1.814012|rs_vs_spy=1.887549|gap_atr=-0.552888|ext_atr=0.672047|risk_atr=0.318947,259.23,60,15553.8,60,0.39,0,160.2,1.03,-10.8,-0.07,-1812.79,-7.25,7
105,Exit long,2026-02-02 10:40,sl1|exit_reason=trail|mfe_r=2.134103,264.15,83,21815.72,108.73,0.50,0,209.99,0.96,-14.94,-0.07,-1704.06,-6.82,11
105,Entry long,2026-02-02 09:45,sl1|setup=pdh_break|side=long|grade=A|size=full|score=5|window=open|tier=neutral|rvol=1.564395|rs_vs_spy=0.626956|gap_atr=0.110957|ext_atr=0.228321|risk_atr=0.217345,262.84,83,21815.72,108.73,0.50,0,209.99,0.96,-14.94,-0.07,-1704.06,-6.82,11
106,Exit long,2026-02-02 11:40,sl1|exit_reason=trail|mfe_r=3.319613,264.26,113,29750.64,110.74,0.37,0,162.72,0.55,-39.55,-0.13,-1593.32,-6.37,7
106,Entry long,2026-02-02 11:05,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=1.745917|rs_vs_spy=0.511989|gap_atr=0.110957|ext_atr=0.017404|risk_atr=0.08,263.28,113,29750.64,110.74,0.37,0,162.72,0.55,-39.55,-0.13,-1593.32,-6.37,7
107,Exit long,2026-02-02 14:30,sl1|exit_reason=time|mfe_r=0.215214,267.09,48,12817.44,2.88,0.02,0,20.16,0.16,-12.48,-0.10,-1590.44,-6.36,6
107,Entry long,2026-02-02 14:00,sl1|setup=hod_break|side=long|grade=A|size=full|score=5|window=power|tier=neutral|rvol=1.612487|rs_vs_spy=1.686295|gap_atr=0.110957|ext_atr=0.583754|risk_atr=0.371884,267.03,48,12817.44,2.88,0.02,0,20.16,0.16,-12.48,-0.10,-1590.44,-6.36,6
