Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
244,Exit short,2026-07-06 11:30,sl1|exit_reason=stop|mfe_r=0.621882,592.09,7,4099.97,-44.66,-1.09,0,27.44,0.67,-44.66,-1.09,-1649.32,-6.60,23
244,Entry short,2026-07-06 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=0.755066|rs_vs_spy=-1.496228|gap_atr=0.541043|ext_atr=0.229269|risk_atr=0.281431,585.71,7,4099.97,-44.66,-1.09,0,27.44,0.67,-44.66,-1.09,-1649.32,-6.60,23
245,Exit long,2026-07-06 14:50,sl1|exit_reason=time|mfe_r=0.442776,600.56,12,7207.92,-1.2,-0.02,0,21.84,0.30,-19.56,-0.27,-1650.52,-6.60,6
245,Entry long,2026-07-06 14:20,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.721321|rs_vs_spy=0.58899|gap_atr=0.541043|ext_atr=0.41235|risk_atr=0.184594,600.66,12,7207.92,-1.2,-0.02,0,21.84,0.30,-19.56,-0.27,-1650.52,-6.60,6
246,Exit long,2026-07-07 09:55,sl1|exit_reason=stop|mfe_r=0.430453,610.9,21,12878.67,-49.77,-0.39,0,20.58,0.16,-49.77,-0.39,-1700.29,-6.80,3
246,Entry long,2026-07-07 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.83071|rs_vs_spy=0.917804|gap_atr=0.327878|ext_atr=0.151031|risk_atr=0.103422,613.27,21,12878.67,-49.77,-0.39,0,20.58,0.16,-49.77,-0.39,-1700.29,-6.80,3
247,Exit long,2026-07-07 14:45,sl1|exit_reason=be|mfe_r=0.830268,617.86,5,3089.5,-0.2,-0.01,0,37.2,1.20,-7.2,-0.23,-1700.49,-6.80,8
247,Entry long,2026-07-07 14:05,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.849143|rs_vs_spy=1.84092|gap_atr=0.327878|ext_atr=0.356557|risk_atr=0.4,617.9,5,3089.5,-0.2,-0.01,0,37.2,1.20,-7.2,-0.23,-1700.49,-6.80,8
248,Exit short,2026-07-08 09:45,sl1|exit_reason=trail|mfe_r=2.04198,602.77,27,16318.26,43.47,0.27,0,99.36,0.61,-16.74,-0.10,-1657.02,-6.63,2
248,Entry short,2026-07-08 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.341025|rs_vs_spy=-1.757118|gap_atr=-0.046138|ext_atr=0.117341|risk_atr=0.08,604.38,27,16318.26,43.47,0.27,0,99.36,0.61,-16.74,-0.10,-1657.02,-6.63,2
249,Exit short,2026-07-08 10:25,sl1|exit_reason=stop|mfe_r=0.430471,606.09,27,16314.21,-50.22,-0.31,0,20.52,0.13,-50.22,-0.31,-1707.24,-6.83,3
249,Entry short,2026-07-08 10:10,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.463962|rs_vs_spy=-1.685988|gap_atr=-0.046138|ext_atr=0.006814|risk_atr=0.08,604.23,27,16314.21,-50.22,-0.31,0,20.52,0.13,-50.22,-0.31,-1707.24,-6.83,3
250,Exit short,2026-07-08 15:40,sl1|exit_reason=be|mfe_r=0.856388,601.38,12,7216.08,-0.48,-0.01,0,39.6,0.55,-2.28,-0.03,-1707.72,-6.83,6
250,Entry short,2026-07-08 15:10,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=0.466088|rs_vs_spy=-2.378279|gap_atr=-0.046138|ext_atr=0.121162|risk_atr=0.171162,601.34,12,7216.08,-0.48,-0.01,0,39.6,0.55,-2.28,-0.03,-1707.72,-6.83,6
251,Exit long,2026-07-09 14:50,sl1|exit_reason=time|mfe_r=0.470499,615.03,28,17251.36,-30.52,-0.18,0,22.96,0.13,-43.12,-0.25,-1738.24,-6.95,6
251,Entry long,2026-07-09 14:20,sl1|setup=pdh_break|side=long|grade=B|size=half|score=3|window=power|tier=core|rvol=1.153744|rs_vs_spy=4.976259|gap_atr=-0.858997|ext_atr=0.695325|risk_atr=0.08,616.12,28,17251.36,-30.52,-0.18,0,22.96,0.13,-43.12,-0.25,-1738.24,-6.95,6
252,Exit long,2026-07-09 15:50,sl1|exit_reason=eod|mfe_r=2.675527,630.12,11,6802.51,128.81,1.89,0,129.69,1.91,-4.07,-0.06,-1609.43,-6.44,8
252,Entry long,2026-07-09 15:10,sl1|setup=hod_break|side=long|grade=B|size=half|score=3|window=power|tier=core|rvol=1.132064|rs_vs_spy=5.427319|gap_atr=-0.858997|ext_atr=0.728134|risk_atr=0.197793,618.41,11,6802.51,128.81,1.89,0,129.69,1.91,-4.07,-0.06,-1609.43,-6.44,8
253,Exit long,2026-07-10 10:00,sl1|exit_reason=trail|mfe_r=1.873444,672.76,37,24808.13,83.99,0.34,0,182.78,0.74,-27.38,-0.11,-1525.44,-6.10,2
253,Entry long,2026-07-10 09:50,sl1|setup=vwap_reclaim|side=long|grade=A|size=full|score=5|window=open|tier=core|rvol=3.299015|rs_vs_spy=1.405866|gap_atr=1.170314|ext_atr=0.057027|risk_atr=0.107027,670.49,37,24808.13,83.99,0.34,0,182.78,0.74,-27.38,-0.11,-1525.44,-6.10,2
254,Exit long,2026-07-10 10:40,sl1|exit_reason=stop|mfe_r=0,667.56,25,16739.5,-50.5,-0.30,0,23.5,0.14,-50.5,-0.30,-1575.94,-6.30,1
254,Entry long,2026-07-10 10:35,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=core|rvol=2.889369|rs_vs_spy=1.427643|gap_atr=1.170314|ext_atr=0.003051|risk_atr=0.08,669.58,25,16739.5,-50.5,-0.30,0,23.5,0.14,-50.5,-0.30,-1575.94,-6.30,1
255,Exit long,2026-07-10 14:25,sl1|exit_reason=stop|mfe_r=0.224866,668.01,50,33502,-101.5,-0.30,0,21,0.06,-101.5,-0.30,-1677.44,-6.71,3
255,Entry long,2026-07-10 14:10,sl1|setup=vwap_reclaim|side=long|grade=A|size=full|score=5|window=power|tier=core|rvol=2.446258|rs_vs_spy=1.152141|gap_atr=1.170314|ext_atr=0.028309|risk_atr=0.08,670.04,50,33502,-101.5,-0.30,0,21,0.06,-101.5,-0.30,-1677.44,-6.71,3
256,Exit long,2026-07-13 09:45,sl1|exit_reason=be|mfe_r=1.292609,672.48,15,10087.8,-0.6,-0.01,0,61.05,0.61,-18.9,-0.19,-1678.04,-6.71,2
256,Entry long,2026-07-13 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=0.670032|rs_vs_spy=1.603896|gap_atr=-0.308946|ext_atr=0.245388|risk_atr=0.120388,672.52,15,10087.8,-0.6,-0.01,0,61.05,0.61,-18.9,-0.19,-1678.04,-6.71,2
257,Exit long,2026-07-13 14:35,sl1|exit_reason=stop|mfe_r=0.261577,660.88,23,15249.69,-49.45,-0.32,0,12.19,0.08,-49.45,-0.32,-1727.49,-6.91,2
257,Entry long,2026-07-13 14:25,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=3|window=power|tier=core|rvol=0.897487|rs_vs_spy=0.699005|gap_atr=-0.308946|ext_atr=0.018236|risk_atr=0.08,663.03,23,15249.69,-49.45,-0.32,0,12.19,0.08,-49.45,-0.32,-1727.49,-6.91,2
258,Exit long,2026-07-14 10:00,sl1|exit_reason=be|mfe_r=0.75872,659.38,11,7253.62,-0.44,-0.01,0,35.42,0.49,-34.32,-0.47,-1727.93,-6.91,5
258,Entry long,2026-07-14 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.32078|rs_vs_spy=1.052791|gap_atr=-0.18322|ext_atr=0.208274|risk_atr=0.1642,659.42,11,7253.62,-0.44,-0.01,0,35.42,0.49,-34.32,-0.47,-1727.93,-6.91,5
259,Exit long,2026-07-15 10:45,sl1|exit_reason=be|mfe_r=0.93842,670.39,7,4693.01,-0.28,-0.01,0,41.44,0.88,-20.86,-0.44,-1728.21,-6.91,8
259,Entry long,2026-07-15 10:05,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.468723|rs_vs_spy=0.961476|gap_atr=0.094504|ext_atr=0.309839|risk_atr=0.249246,670.43,7,4693.01,-0.28,-0.01,0,41.44,0.88,-20.86,-0.44,-1728.21,-6.91,8
260,Exit short,2026-07-16 09:45,sl1|exit_reason=stop|mfe_r=0,670.27,15,10005.45,-48.6,-0.49,0,30.45,0.30,-48.6,-0.49,-1776.81,-7.11,1
260,Entry short,2026-07-16 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.37697|rs_vs_spy=-1.338402|gap_atr=-0.148346|ext_atr=0.185528|risk_atr=0.124368,667.03,15,10005.45,-48.6,-0.49,0,30.45,0.30,-48.6,-0.49,-1776.81,-7.11,1
261,Exit short,2026-07-16 15:50,sl1|exit_reason=eod|mfe_r=0.992966,663.04,10,6647.6,17.2,0.26,0,45.2,0.68,-1.6,-0.02,-1759.61,-7.04,8
261,Entry short,2026-07-16 15:10,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=0.511605|rs_vs_spy=-1.47354|gap_atr=-0.148346|ext_atr=0.296814|risk_atr=0.178217,664.76,10,6647.6,17.2,0.26,0,45.2,0.68,-1.6,-0.02,-1759.61,-7.04,8
262,Exit short,2026-07-17 09:45,sl1|exit_reason=trail|mfe_r=2.632715,640.02,24,15404.16,43.68,0.28,0,127.92,0.83,-10.08,-0.07,-1715.93,-6.86,2
262,Entry short,2026-07-17 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.528326|rs_vs_spy=-0.826188|gap_atr=-0.650748|ext_atr=0.114313|risk_atr=0.08,641.84,24,15404.16,43.68,0.28,0,127.92,0.83,-10.08,-0.07,-1715.93,-6.86,2
263,Exit short,2026-07-20 10:00,sl1|exit_reason=trail|mfe_r=1.921982,638.35,23,14725.75,43.7,0.30,0,92.69,0.63,-13.11,-0.09,-1672.23,-6.69,2
