Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
287,Entry short,2026-07-09 10:52,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783608660000:short|bars_to_confirm=1|signal_close=1015.07|trigger=1015.28|stop=1020.05|target_r=1.5|risk_ps=4.98|atr=3.850378|vwap_dist_atr=0.94775|tick=0.01,1014.91,20,20298.2,-103,-0.51,0,94.2,0.46,-103,-0.51,2726.28,2.73,14
288,Exit long,2026-07-09 12:22,sl1|exit_reason=stop,1017.1,31,31638.6,-108.5,-0.34,0,38.75,0.12,-108.5,-0.34,2617.78,2.62,15
288,Entry long,2026-07-09 12:07,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783613160000:long|bars_to_confirm=1|signal_close=1020.27|trigger=1020|stop=1017.11|target_r=1.5|risk_ps=3.16|atr=2.016264|vwap_dist_atr=0.836948|tick=0.01,1020.6,31,31638.6,-108.5,-0.34,0,38.75,0.12,-108.5,-0.34,2617.78,2.62,15
289,Exit long,2026-07-10 11:06,sl1|exit_reason=stop,969.75,26,25312.82,-99.32,-0.39,0,15.86,0.06,-99.32,-0.39,2518.46,2.52,1
289,Entry long,2026-07-10 11:05,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783695840000:long|bars_to_confirm=1|signal_close=973.56|trigger=972.7218|stop=969.76|target_r=1.5|risk_ps=3.8|atr=3.085937|vwap_dist_atr=0.503895|tick=0.01,973.57,26,25312.82,-99.32,-0.39,0,15.86,0.06,-99.32,-0.39,2518.46,2.52,1
290,Exit short,2026-07-13 12:51,sl1|exit_reason=stop,928.2,28,25895.52,-94.08,-0.36,0,1.4,0.01,-94.08,-0.36,2424.38,2.42,0
290,Entry short,2026-07-13 12:51,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783961400000:short|bars_to_confirm=1|signal_close=924.72|trigger=925.22|stop=928.19|target_r=1.5|risk_ps=3.47|atr=2.501762|vwap_dist_atr=0.925879|tick=0.01,924.84,28,25895.52,-94.08,-0.36,0,1.4,0.01,-94.08,-0.36,2424.38,2.42,0
291,Exit short,2026-07-13 14:15,sl1|exit_reason=stop,928.67,41,37979.94,-95.53,-0.25,0,68.06,0.18,-95.53,-0.25,2328.85,2.33,3
291,Entry short,2026-07-13 14:12,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783966260000:short|bars_to_confirm=1|signal_close=926.2352|trigger=927.02|stop=928.66|target_r=1.5|risk_ps=2.4248|atr=1.755868|vwap_dist_atr=0.735056|tick=0.01,926.34,41,37979.94,-95.53,-0.25,0,68.06,0.18,-95.53,-0.25,2328.85,2.33,3
292,Exit long,2026-07-14 11:20,sl1|exit_reason=target,978.62,24,23346,140.88,0.60,0,140.88,0.60,-27.84,-0.12,2469.73,2.47,10
