Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
10,Exit long,2026-02-12 08:20,TP1,86.61,1,92,-6.39,-6.91,0,0.00,-5.89,-6.37,-16.92,-0.03,6
10,Entry long,2026-02-12 07:50,Long,92,1,92,-6.39,-6.91,0,0.00,-5.89,-6.37,-16.92,-0.03,6
11,Exit long,2026-02-12 13:55,TP1,89.11,1,88.07,0.04,0.05,0.66,0.75,-0.57,-0.64,-16.88,-0.03,1
11,Entry long,2026-02-12 13:50,Long,88.07,1,88.07,0.04,0.05,0.66,0.75,-0.57,-0.64,-16.88,-0.03,1
12,Exit long,2026-02-17 09:35,TP1,96.98,1,96.01,-0.03,-0.03,1.79,1.85,-1.26,-1.31,-16.91,-0.03,1
12,Entry long,2026-02-17 09:30,Long,96.01,1,96.01,-0.03,-0.03,1.79,1.85,-1.26,-1.31,-16.91,-0.03,1
13,Exit long,2026-02-19 08:10,TP1,100.83,1,101.36,-1.53,-1.50,0,0.00,-1.03,-1.01,-18.44,-0.04,4
13,Entry long,2026-02-19 07:50,Long,101.36,1,101.36,-1.53,-1.50,0,0.00,-1.03,-1.01,-18.44,-0.04,4
14,Exit short,2026-02-20 19:55,TP1,97.5,1,97.6,-0.9,-0.92,0,0.00,-0.77,-0.78,-19.34,-0.04,19
14,Entry short,2026-02-20 18:10,Short,97.6,1,97.6,-0.9,-0.92,0,0.00,-0.77,-0.78,-19.34,-0.04,19
15,Exit long,2026-02-23 16:00,EOD-LastBarOfSession (holiday backstop),100.35,1,100.55,-1.2,-1.19,0,0.00,-0.7,-0.69,-20.54,-0.04,1
15,Entry long,2026-02-23 15:55,Long,100.55,1,100.55,-1.2,-1.19,0,0.00,-0.7,-0.69,-20.54,-0.04,1
16,Exit long,2026-02-23 16:55,EOD-Closing ALL Trades @ 1550 Central Time,100.42,1,100.49,-1.07,-1.06,0,0.00,-0.93,-0.92,-21.61,-0.04,9
16,Entry long,2026-02-23 16:05,Long,100.49,1,100.49,-1.07,-1.06,0,0.00,-0.93,-0.92,-21.61,-0.04,9
17,Exit long,2026-02-24 06:10,TP1,100.4,1,100.71,-1.31,-1.29,0,0.00,-0.81,-0.80,-22.92,-0.05,6
17,Entry long,2026-02-24 05:35,Long,100.71,1,100.71,-1.31,-1.29,0,0.00,-0.81,-0.80,-22.92,-0.05,6
18,Exit short,2026-02-25 10:55,TP1,105.5,1,103.64,-2.86,-2.75,0,0.00,-2.36,-2.27,-25.78,-0.05,9
18,Entry short,2026-02-25 10:10,Short,103.64,1,103.64,-2.86,-2.75,0,0.00,-2.36,-2.27,-25.78,-0.05,9
19,Exit long,2026-02-25 13:20,TP1,105.84,1,105.53,-0.69,-0.65,0,0.00,-0.76,-0.72,-26.47,-0.05,2
19,Entry long,2026-02-25 13:10,Long,105.53,1,105.53,-0.69,-0.65,0,0.00,-0.76,-0.72,-26.47,-0.05,2
20,Exit long,2026-02-25 13:30,TP1,106.17,1,105.86,-0.69,-0.65,0,0.00,-0.6,-0.56,-27.16,-0.05,1
20,Entry long,2026-02-25 13:25,Long,105.86,1,105.86,-0.69,-0.65,0,0.00,-0.6,-0.56,-27.16,-0.05,1
21,Exit long,2026-02-26 08:10,TP1,105.62,1,106.04,-1.42,-1.33,0,0.00,-0.92,-0.86,-28.58,-0.06,5
21,Entry long,2026-02-26 07:45,Long,106.04,1,106.04,-1.42,-1.33,0,0.00,-0.92,-0.86,-28.58,-0.06,5
22,Exit long,2026-02-26 11:50,TP1,104.51,1,106.87,-3.36,-3.13,0,0.00,-2.86,-2.66,-31.94,-0.06,4
22,Entry long,2026-02-26 11:30,Long,106.87,1,106.87,-3.36,-3.13,0,0.00,-2.86,-2.66,-31.94,-0.06,4
23,Exit short,2026-02-26 15:40,TP1,104.68,1,103.34,-2.34,-2.25,0,0.00,-1.84,-1.77,-34.28,-0.07,3
23,Entry short,2026-02-26 15:25,Short,103.34,1,103.34,-2.34,-2.25,0,0.00,-1.84,-1.77,-34.28,-0.07,3
24,Exit long,2026-02-26 16:05,TP1,103.44,1,104.8,-2.36,-2.24,0,0.00,-1.86,-1.77,-36.64,-0.07,1
24,Entry long,2026-02-26 16:00,Long,104.8,1,104.8,-2.36,-2.24,0,0.00,-1.86,-1.77,-36.64,-0.07,1
25,Exit long,2026-03-04 14:00,TP1,97.47,1,97.09,-0.62,-0.64,0,0.00,-0.99,-1.01,-37.26,-0.07,4
25,Entry long,2026-03-04 13:40,Long,97.09,1,97.09,-0.62,-0.64,0,0.00,-0.99,-1.01,-37.26,-0.07,4
26,Exit long,2026-03-05 18:50,TP1,95.63,1,95.46,-0.83,-0.86,0,0.00,-0.51,-0.53,-38.09,-0.08,1
26,Entry long,2026-03-05 18:45,Long,95.46,1,95.46,-0.83,-0.86,0,0.00,-0.51,-0.53,-38.09,-0.08,1
27,Exit long,2026-03-06 04:00,TP1,95.98,1,95.71,-0.73,-0.76,0,0.00,-0.77,-0.80,-38.82,-0.08,5
27,Entry long,2026-03-05 19:15,Long,95.71,1,95.71,-0.73,-0.76,0,0.00,-0.77,-0.80,-38.82,-0.08,5
28,Exit long,2026-03-10 16:55,EOD-Closing ALL Trades @ 1550 Central Time,98.24,1,97.91,-0.67,-0.68,0,0.00,-0.87,-0.88,-39.49,-0.08,8
28,Entry long,2026-03-10 16:15,Long,97.91,1,97.91,-0.67,-0.68,0,0.00,-0.87,-0.88,-39.49,-0.08,8
29,Exit long,2026-03-11 04:00,TP1,98.73,1,98.31,-0.58,-0.59,0,0.00,-1.02,-1.03,-40.07,-0.08,15
29,Entry long,2026-03-10 18:25,Long,98.31,1,98.31,-0.58,-0.59,0,0.00,-1.02,-1.03,-40.07,-0.08,15
30,Exit short,2026-03-12 08:10,TP1,109.4,1,109.64,-0.76,-0.69,0,0.00,-0.62,-0.56,-40.83,-0.08,1
30,Entry short,2026-03-12 08:05,Short,109.64,1,109.64,-0.76,-0.69,0,0.00,-0.62,-0.56,-40.83,-0.08,1
31,Exit short,2026-03-12 08:30,TP1,109.32,1,109.54,-0.78,-0.71,0,0.00,-0.54,-0.49,-41.61,-0.08,1
31,Entry short,2026-03-12 08:25,Short,109.54,1,109.54,-0.78,-0.71,0,0.00,-0.54,-0.49,-41.61,-0.08,1
32,Exit long,2026-03-12 11:45,TP1,110.87,1,110.04,-0.17,-0.15,0.33,0.30,-0.96,-0.87,-41.78,-0.08,1
32,Entry long,2026-03-12 11:40,Long,110.04,1,110.04,-0.17,-0.15,0.33,0.30,-0.96,-0.87,-41.78,-0.08,1
33,Exit long,2026-03-12 13:45,TP1,107.81,1,110.43,-3.62,-3.26,0.08,0.07,-3.12,-2.81,-45.4,-0.09,22
33,Entry long,2026-03-12 11:55,Long,110.43,1,110.43,-3.62,-3.26,0.08,0.07,-3.12,-2.81,-45.4,-0.09,22
34,Exit long,2026-03-13 06:10,TP1,108.57,1,108.41,-0.84,-0.77,0,0.00,-0.71,-0.65,-46.24,-0.09,1
34,Entry long,2026-03-13 06:05,Long,108.41,1,108.41,-0.84,-0.77,0,0.00,-0.71,-0.65,-46.24,-0.09,1
35,Exit long,2026-03-16 15:15,TP1,131.78,1,131.08,-0.3,-0.23,0.21,0.16,-0.96,-0.73,-46.54,-0.09,1
35,Entry long,2026-03-16 15:10,Long,131.08,1,131.08,-0.3,-0.23,0.21,0.16,-0.96,-0.73,-46.54,-0.09,1
36,Exit long,2026-03-18 14:00,TP1,121.75,1,121.31,-0.56,-0.46,0,0.00,-0.81,-0.66,-47.1,-0.09,2
